000000 0.3333 0.3328 0.3339
000010 0.3349 0.3417 0.3235
000020 0.3434 0.3860 0.2706
000030 0.3623 0.4749 0.1627
000040 0.3957 0.5440 0.0602
000050 0.4464 0.5394 0.0142
000060 0.5146 0.4808 0.0046
000070 0.5946 0.4014 0.0040
000080 0.6795 0.3157 0.0048
000090 0.7614 0.2329 0.0057
000100 0.8338 0.1599 0.0063
000110 0.8892 0.1037 0.0071
000120 0.9286 0.0633 0.0081
000130 0.9523 0.0380 0.0097
000140 0.9651 0.0234 0.0115
000150 0.9710 0.0164 0.0126
000160 0.9718 0.0147 0.0135
000170 0.9702 0.0157 0.0141
000180 0.9678 0.0172 0.0150
000190 0.9678 0.0172 0.0150
000200 0.9678 0.0172 0.0150
000210 0.9678 0.0172 0.0150
000220 0.9678 0.0172 0.0150
000230 0.9678 0.0172 0.0150
000240 0.9678 0.0172 0.0150
000250 0.9678 0.0172 0.0150
000260 0.9678 0.0172 0.0150
000270 0.9678 0.0172 0.0150
000280 0.9678 0.0172 0.0150
000290 0.9678 0.0172 0.0150
000300 0.9678 0.0172 0.0150
